,loc_i,loc_j,coupling
0,9120201,6120103,4.3756e-07
1,3120301,6120103,2.75229e-06
2,9320102,6120103,5.15497e-06
3,12220201,6120103,5.894001e-05
4,1230114,6120103,1.18528e-06
5,1130113,6120103,1.77279e-06
6,8320303,6120103,1.23853e-06
7,2120102,6120103,2.13767e-06
8,7120302,6120103,9.89104e-06
9,6220103,6120103,5.39101e-06
10,1130142,6120103,1.03028e-06
11,12120202,6120103,7.51511e-06
12,1130141,6120103,6.0904e-07
13,14220203,6120103,8.0782e-07
14,9220104,6120103,5.646432e-05
15,1430111,6120103,1.31869e-06
16,6220302,6120103,0.01331128566
17,12220204,6120103,1.756993e-05
18,5220102,6120103,8.5816e-07
19,7230111,6120103,2.613e-07
20,3120303,6120103,7.1219e-07
21,1230124,6120103,1.2752e-06
22,12120103,6120103,7.48713e-06
23,6220101,6120103,1.323158e-05
24,3320205,6120103,8.101e-07
25,1130124,6120103,8.6366e-07
26,6120102,6120103,0.02182601073
27,6120301,6120103,0.00011846632
28,8220404,6120103,1.02657e-06
29,1430115,6120103,8.4665e-07
30,2120402,6120103,1.47125e-06
31,7120301,6120103,2.26718e-06
32,1230133,6120103,1.87126e-06
33,6120203,6120103,0.00052432513
34,2120304,6120103,1.9313e-07
35,7120303,6120103,3.14528e-06
36,1130133,6120103,8.2531e-07
37,9220301,6120103,0.00296298858
38,3320101,6120103,4.84194e-06
39,1230127,6120103,3.00862e-06
40,1430113,6120103,2.1767e-07
41,6120103,6120103,0.84612223059
42,1230111,6120103,6.5888e-07
43,1130125,6120103,3.0725e-07
44,11120201,6120103,3.1648e-07
45,1130143,6120103,1.6901e-06
46,6120201,6120103,0.00051056319
47,9220103,6120103,0.02242786483
48,8320203,6120103,2.19473e-06
49,1130134,6120103,6.12e-08
50,9120402,6120103,2.344087e-05
51,6220102,6120103,2.393443e-05
52,1130112,6120103,6.8516e-07
53,7220303,6120103,8.4563e-07
54,7230122,6120103,7.4959e-07
55,13120102,6120103,2.9657e-06
56,9120102,6120103,3.351327e-05
57,1130121,6120103,9.9642e-07
58,1430112,6120103,4.6889e-07
59,1230121,6120103,1.00547e-06
60,10220304,6120103,3.5419e-07
61,8320301,6120103,4.00773e-06
62,7320401,6120103,2.5835e-07
63,1320103,6120103,4.0761e-07
64,1230134,6120103,1.51837e-06
65,1230131,6120103,1.11567e-06
66,1130115,6120103,1.8202e-07
67,9320201,6120103,1.027153e-05
68,7220203,6120103,1.11595e-06
69,7220302,6120103,2.05422e-06
70,12220101,6120103,1.614032e-05
71,9220304,6120103,0.00012149239
72,7120203,6120103,1.680148e-05
73,5220302,6120103,6.4001e-07
74,1320101,6120103,2.53903e-06
75,1130123,6120103,1.20297e-06
76,1130114,6120103,3.1358e-07
77,1130144,6120103,2.50669e-06
78,1230123,6120103,6.1437e-07
79,7220202,6120103,9.9793e-07
80,9120401,6120103,2.74283e-06
81,1230125,6120103,1.24027e-06
82,9220202,6120103,2.61739e-06
83,1230135,6120103,2.66225e-06
84,1130132,6120103,5.3848e-07
85,6220205,6120103,2.779323e-05
86,7230121,6120103,2.9458e-07
87,3220204,6120103,3.908387e-05
88,1230132,6120103,2.60934e-06
89,7120201,6120103,2.09214e-06
90,9120202,6120103,4.19382e-06
91,4220302,6120103,4.21e-07
92,8320201,6120103,2.83751e-06
93,3120103,6120103,5.13094e-06
94,2320103,6120103,1.6858e-07
95,6220301,6120103,0.0001589048
96,3120204,6120103,3.26542e-06
97,1320102,6120103,1.19935e-06
98,9220302,6120103,0.00023928162
99,7120202,6120103,2.839515e-05
100,3220201,6120103,4.69587e-06
101,6120302,6120103,2.14425e-06
102,14220303,6120103,1.68107e-06
103,6320103,6120103,6.438487e-05
104,1230112,6120103,8.986e-07
105,1330112,6120103,1.62298e-06
106,6120202,6120103,0.00018874142
107,1130126,6120103,6.2882e-07
108,9220105,6120103,0.0607176681
109,8120102,6120103,8.1105e-07
110,6320201,6120103,1.714944e-05
