loc_i,loc_j,coupling force
9120201,6120103,1.32916e-06
3120301,6120103,2.79908e-06
6120201,6120103,0.00058627162
12220201,6120103,2.33391e-05
1230114,6120103,2.99181e-06
1130113,6120103,1.6089e-06
8320303,6120103,2.3752e-07
6220103,6120103,2.712811e-05
12120202,6120103,6.87123e-06
12220203,6120103,5.38045e-06
12220204,6120103,2.434209e-05
1230121,6120103,4.8319e-07
7230111,6120103,5.1911e-07
8120105,6120103,2.34187e-06
12120103,6120103,3.50976e-06
6220101,6120103,2.292196e-05
3320205,6120103,9.4493e-07
1130124,6120103,7.951e-07
6120102,6120103,0.02558729775
6120301,6120103,0.00012511706
9120402,6120103,2.753844e-05
1130142,6120103,1.91087e-06
2120402,6120103,1.88901e-06
7120301,6120103,3.38694e-06
1230133,6120103,2.32519e-06
9220202,6120103,2.79131e-06
8320304,6120103,2.69741e-06
6120203,6120103,0.00073520477
1230124,6120103,1.89312e-06
1230113,6120103,2.28734e-06
2120102,6120103,2.07296e-06
9220301,6120103,0.00168979899
9220104,6120103,5.862642e-05
4120203,6120103,1.1346e-07
9120303,6120103,5.55185e-06
1430113,6120103,8.7669e-07
8320103,6120103,1.99278e-06
1230111,6120103,2.55694e-06
1230127,6120103,2.66555e-06
12320103,6120103,2.44396e-06
8220405,6120103,3.16483e-06
7120302,6120103,1.222219e-05
1130143,6120103,2.00306e-06
12120101,6120103,1.60351e-06
7120303,6120103,4.45586e-06
6120103,6120103,0.84304358432
9220103,6120103,0.02087901989
5120301,6120103,5.2563e-07
1130134,6120103,1.8618e-07
9120204,6120103,2.46274e-06
7120102,6120103,5.61352e-06
5220102,6120103,4.9157e-07
7220303,6120103,1.24772e-06
7230122,6120103,3.7539e-07
9120102,6120103,4.144026e-05
6220302,6120103,0.0089509362
7120202,6120103,2.449805e-05
1130121,6120103,1.0311e-06
1430112,6120103,1.35715e-06
10220304,6120103,3.6561e-07
8320301,6120103,3.90953e-06
6220206,6120103,3.35184e-05
1330112,6120103,1.93782e-06
14220203,6120103,8.7963e-07
7320401,6120103,4.8792e-07
1320103,6120103,1.2362e-06
1230134,6120103,1.1166e-06
1230131,6120103,1.93752e-06
1130115,6120103,6.4265e-07
10120301,6120103,1.2603e-07
1130123,6120103,1.66398e-06
7220202,6120103,1.01745e-06
9320101,6120103,4.08122e-06
3120303,6120103,1.06075e-06
7220203,6120103,1.04199e-06
7220201,6120103,1.76883e-06
9220303,6120103,0.0049075899
7220302,6120103,1.99507e-06
8220203,6120103,4.7482e-07
7120203,6120103,1.880135e-05
5220302,6120103,6.1172e-07
1320101,6120103,4.61679e-06
8220402,6120103,3.45888e-06
1130144,6120103,4.79295e-06
3220201,6120103,4.50599e-06
1130122,6120103,1.39268e-06
1230112,6120103,1.47465e-06
1130133,6120103,1.15588e-06
1230132,6120103,1.17594e-06
1230123,6120103,5.0861e-07
12220202,6120103,1.588219e-05
12420102,6120103,4.98403e-06
1130132,6120103,1.3345e-07
3220204,6120103,6.174475e-05
7320101,6120103,1.69111e-06
13120101,6120103,1.9119e-07
12120203,6120103,3.5608e-06
1230122,6120103,8.2555e-07
9120202,6120103,8.45918e-06
12420104,6120103,4.5053e-06
1130112,6120103,9.8314e-07
7120201,6120103,3.89916e-06
9220101,6120103,0.00183552236
1320102,6120103,9.2059e-07
9220302,6120103,0.00029594061
12220101,6120103,4.936407e-05
1430111,6120103,1.90309e-06
10220302,6120103,9.1544e-07
6320103,6120103,2.410829e-05
6220202,6120103,0.0002447638
1130131,6120103,2.5135e-07
7320402,6120103,1.74992e-06
6220203,6120103,4.98229e-05
6120202,6120103,0.00019263654
1130126,6120103,6.2242e-07
9220105,6120103,0.05260500902
6120303,6120103,9.516766e-05
7220102,6120103,3.22455e-06
14120203,6120103,2.15406e-06
1330111,6120103,6.112e-07
12220102,6120103,9.42001e-06
7230121,6120103,3.8734e-07
6220102,6120103,2.767845e-05
9220201,6120103,1.397728e-05
1230135,6120103,2.33476e-06
9320203,6120103,2.599012e-05
6320101,6120103,0.00041987824
3220202,6120103,1.448268e-05
7220101,6120103,1.12677e-06
12120204,6120103,2.060584e-05
6320102,6120103,4.70181e-06
1130114,6120103,4.911e-07
7320403,6120103,2.49038e-06
1130141,6120103,8.7517e-07
7220301,6120103,1.21261e-06
1430114,6120103,8.5026e-07
14220104,6120103,2.06411e-06
9220304,6120103,0.00016276469
4320101,6120103,2.8851e-07
1230126,6120103,3.2177e-07
3320105,6120103,1.795042e-05
8220302,6120103,2.49553e-06
12420202,6120103,5.82413e-06
14120101,6120103,7.5839e-07
2120304,6120103,3.9391e-07
4320103,6120103,4.21602e-06
9320202,6120103,1.965395e-05
6220204,6120103,0.00022662762
1330113,6120103,1.71605e-06
14220101,6120103,6.47847e-06
12120102,6120103,1.57461e-06
2120403,6120103,3.23202e-06
6220304,6120103,0.02276743312
8220102,6120103,1.60048e-06
14220202,6120103,6.64978e-06
8120303,6120103,1.86217e-06
14220301,6120103,2.9767e-06
8120204,6120103,5.2961e-07
1230125,6120103,1.92247e-06
7220204,6120103,2.59084e-06
9120401,6120103,2.25621e-05
6120302,6120103,1.878852e-05
3220203,6120103,1.96241e-06
6220301,6120103,0.00013451616
6320203,6120103,3.757327e-05
6220205,6120103,4.092977e-05
9120403,6120103,4.532905e-05
2120201,6120103,9.6244e-07
9220203,6120103,9.08018e-06
9120302,6120103,9.77773e-06
8320401,6120103,2.99987e-06
6320104,6120103,8.766803e-05
9320201,6120103,2.999625e-05
6220303,6120103,0.00074113349
1130125,6120103,4.3e-07
6320201,6120103,2.554947e-05
9120104,6120103,1.578273e-05
10320203,6120103,8.68717e-06
9120201,13320202,4.4305e-07
6120201,13320202,5.0487e-07
1230114,13320202,6.504e-08
1130113,13320202,1.33421e-06
1230121,13320202,6.4426e-07
7230111,13320202,1.7304e-07
12120103,13320202,1.4624e-06
3320205,13320202,1.696e-07
1130124,13320202,8.834e-08
9120402,13320202,7.0013e-07
1130142,13320202,5.0286e-07
7120301,13320202,2.0981e-07
1230133,13320202,1.6036e-07
1230124,13320202,2.2272e-07
4120203,13320202,1.1346e-07
1230127,13320202,2.6655e-07
12320103,13320202,1.46638e-06
7120302,13320202,7.4074e-07
1130143,13320202,9.538e-08
5120301,13320202,5.2563e-07
5220102,13320202,2.064582e-05
