loc_i,loc_j,coupling force
12220101,9120201,1.8394e-05
7320203,9120201,2.6062e-05
3120301,9120201,2.35069e-05
9320102,9120201,4.60676e-05
7320404,9120201,6.50337e-05
12220201,9120201,2.16794e-05
1230114,9120201,0.0004086769
8320403,9120201,8.31312e-05
14320104,9120201,1.25991e-05
9120102,9120201,0.0006181351
2120102,9120201,1.02922e-05
7120302,9120201,0.0005190908
6220103,9120201,0.000115717
14220203,9120201,4.61792e-05
6120201,9120201,0.0002854969
12120202,9120201,0.0004701513
8220405,9120201,0.0004311077
1330112,9120201,8.0706e-05
9220104,9120201,0.0056964122
6220302,9120201,0.000202467
9220202,9120201,0.0119923981
5220102,9120201,8.62817e-05
7230111,9120201,0.0001343717
7220203,9120201,0.0001850492
3320301,9120201,2.59892e-05
12120103,9120201,6.12179e-05
6220101,9120201,0.0002507891
3320205,9120201,0.0001237391
1130124,9120201,0.0003131205
1130123,9120201,0.000127499
6120102,9120201,0.0006059827
1430115,9120201,0.0003190605
1230125,9120201,0.0002830244
1130142,9120201,0.0003133169
2120402,9120201,0.0007505388
4120201,9120201,5.38809e-05
7120301,9120201,0.0008547193
1230133,9120201,0.0003844593
1320102,9120201,0.0003144425
8320304,9120201,2.09947e-05
3220102,9120201,0.000368053
6120203,9120201,0.0002286799
3120304,9120201,3.51939e-05
8220404,9120201,3.78259e-05
1230124,9120201,0.0001688581
14320301,9120201,0.0001984521
9220301,9120201,0.000681305
4120203,9120201,1.80056e-05
2120103,9120201,3.81828e-05
9120303,9120201,0.0001052499
2220202,9120201,5.17826e-05
8220103,9120201,0.0003866015
9120401,9120201,0.0011804745
1230122,9120201,0.000150366
9320203,9120201,0.0012508589
7320401,9120201,3.6675e-05
11120103,9120201,0.000132523
5220203,9120201,4.8033e-05
11120201,9120201,2.92008e-05
12120201,9120201,1.47462e-05
5220101,9120201,8.0617e-06
12120101,9120201,8.26606e-05
6120103,9120201,0.0002202331
12120204,9120201,0.0001674983
8320203,9120201,1.5114e-05
1130134,9120201,0.0002202885
9120402,9120201,0.0017944861
6220102,9120201,0.0001087365
8220102,9120201,3.49308e-05
7230122,9120201,0.0001837636
6120301,9120201,0.0012089392
8320303,9120201,2.76138e-05
12420102,9120201,0.0003367003
1130121,9120201,0.0002191835
1430112,9120201,0.0002556831
1230121,9120201,0.0001616554
1130113,9120201,0.0002057485
10220304,9120201,6.29112e-05
8320301,9120201,0.0004486162
6220206,9120201,1.62206e-05
1130133,9120201,0.0002229644
1130125,9120201,0.0001644453
1230134,9120201,0.0001043615
1230131,9120201,0.0002327405
6320102,9120201,3.85914e-05
1130115,9120201,0.00035559
6320204,9120201,0.0002963602
7220202,9120201,5.54863e-05
11320102,9120201,6.1232e-05
8120204,9120201,0.0001217807
3120303,9120201,0.000284906
3120302,9120201,0.0003541824
6120302,9120201,6.66963e-05
5120303,9120201,1.83181e-05
1230132,9120201,0.0004822012
14120105,9120201,0.0003496351
9220303,9120201,0.0003109299
1230111,9120201,0.0002378515
1130143,9120201,0.0002943835
7220302,9120201,0.0009541074
1230112,9120201,0.00023455
13120101,9120201,9.46435e-05
5220302,9120201,1.82564e-05
7320103,9120201,0.0001103134
1320101,9120201,0.0001975522
