Location1,CACR_1,node,Population
08320101,CR,232,28270
08120103,CR,233,9953
08220405,CR,234,6354
11120201,CR,235,60873
04220202,CR,236,27443
06120103,CR,237,32870
07320401,CR,238,19866
06120301,CR,239,16903
08220102,CR,240,18047
06320103,CR,241,15127
06220302,CR,242,23221
07120203,CR,243,27643
13120101,CR,244,12583
08220203,CR,245,18495
07220302,CR,246,31283
09220303,CR,247,36937
02320101,CR,248,19885
08220403,CR,249,11775
06320204,CR,250,5102
09320201,CR,251,13513
14220104,CR,252,16764
10220104,CR,253,30001
01320103,CR,254,46263
04320102,CR,255,18505
10220304,CR,256,14341
05120202,CR,257,9578
02120304,CR,258,34775
03120303,CR,259,52205
10220302,CR,260,21466
13220201,CR,261,4425
12420202,CR,262,43574
07220203,CR,263,27049
09220202,CR,264,12839
14220203,CR,265,9853
14320101,CR,266,12039
12120202,CR,267,38087
06120201,CR,268,32580
06220103,CR,269,26958
07120302,CR,270,33899
08120105,CR,271,6328
11320101,CR,272,3842
08120204,CR,273,26800
14320104,CR,274,24552
08320403,CR,275,27978
02120204,CR,276,9589
07320404,CR,277,26071
09320102,CR,278,31090
03120301,CR,279,36902
12320101,CR,280,26343
09120102,CR,281,18423
10120301,CR,282,18928
03320301,CR,283,19864
06220101,CR,284,25468
08120104,CR,285,6415
08220304,CR,286,5462
09120303,CR,287,28727
03320101,CR,288,6071
04120203,CR,289,23974
12220101,CR,290,11715
07120303,CR,291,37543
08220301,CR,292,12192
12120103,CR,293,24831
06120203,CR,294,22129
01320102,CR,295,50582
05320202,CR,296,13326
11320103,CR,297,31326
07120301,CR,298,68065
04120201,CR,299,38668
02120402,CR,300,35450
06120102,CR,301,39241
03320205,CR,302,851668
08320304,CR,303,17681
08220402,CR,304,19579
07220303,CR,305,44443
05420202,CR,306,22381
06320101,CR,307,16195
08320201,CR,308,18453
09120301,CR,309,27345
03120203,CR,310,28789
11220202,CR,311,43438
03320102,CR,312,6243
14320102,CR,313,5461
07220301,CR,314,37151
07320103,CR,315,59589
07220201,CR,316,33585
03320201,CR,317,9723
06220304,CR,318,10577
04220301,CR,319,36925
08120102,CR,320,42668
14120203,CR,321,6554
12120102,CR,322,17960
01320101,CR,323,27894
06120202,CR,324,26714
06320201,CR,325,9670
13320102,CR,326,15551
07220202,CR,327,27521
03320104,CR,328,6365
03220205,CR,329,14009
05320103,CR,330,9792
03120201,CR,331,16250
02120103,CR,332,13168
12220102,CR,333,11464
09320202,CR,334,12317
04320101,CR,335,45258
09120103,CR,336,21669
03220202,CR,337,34132
14320105,CR,338,14044
06220303,CR,339,41735
02320201,CR,340,5270
10120102,CR,341,13315
12320201,CR,342,26032
06220203,CR,343,37377
02320103,CR,344,11878
07220101,CR,345,46769
09320203,CR,346,16768
08320203,CR,347,27398
12320301,CR,348,17898
10120204,CR,349,15029
09120203,CR,350,10617
08220404,CR,351,20773
09220302,CR,352,26788
10120103,CR,353,17236
09120401,CR,354,34435
12120203,CR,355,23817
05220201,CR,356,43223
07320101,CR,357,39720
03320204,CR,358,6912
12220204,CR,359,5465
05420104,CR,360,11200
11120101,CR,361,30646
07320402,CR,362,15750
08220302,CR,363,8786
02120303,CR,364,11642
09220301,CR,365,30423
08220101,CR,366,20254
12420101,CR,367,17177
04220101,CR,368,36909
09120202,CR,369,23163
04220402,CR,370,22635
12220202,CR,371,34404
04220401,CR,372,42776
07120201,CR,373,38455
08320303,CR,374,22025
07120202,CR,375,31707
14220303,CR,376,15362
05320101,CR,377,7076
07320102,CR,378,24834
06220204,CR,379,31138
04220103,CR,380,19229
02120401,CR,381,22080
14120101,CR,382,14243
03220201,CR,383,13735
04120202,CR,384,23355
11220103,CR,385,40910
08320104,CR,386,9649
05120103,CR,387,11322
14320103,CR,388,14250
14320302,CR,389,17241
14120201,CR,390,12380
11320102,CR,391,21052
06120303,CR,392,16663
05320304,CR,393,9683
