,loc_i,loc_j,coupling
0,7320203,7120302,0.0002065237
1,3120301,7120302,0.0002843544
2,9320102,7120302,0.0002423826
3,5120303,7120302,5.27683e-05
4,7320404,7120302,0.0003715209
5,2120403,7120302,3.31772e-05
6,8120102,7120302,0.0001625391
7,1230134,7120302,0.0013488833
8,14320103,7120302,0.0001396661
9,1230124,7120302,0.0013932964
10,14320104,7120302,0.000366402
11,8120204,7120302,0.0002698454
12,8320303,7120302,0.0002600048
13,2120102,7120302,0.0001507426
14,12220101,7120302,0.0004137945
15,4220201,7120302,0.0001961715
16,6220103,7120302,0.0001847718
17,6120201,7120302,0.0004543061
18,12120202,7120302,0.000348481
19,3320101,7120302,7.6926e-05
20,10120101,7120302,0.0001050126
21,10220202,7120302,0.001337288
22,9220202,7120302,0.0106502523
23,1230121,7120302,0.0009970436
24,4120202,7120302,6.64257e-05
25,3320301,7120302,4.02736e-05
26,7230111,7120302,0.0028775436
27,12220201,7120302,9.85046e-05
28,8120105,7120302,4.0776e-05
29,7120203,7120302,0.0034480717
30,4220402,7120302,0.0001380702
31,12120103,7120302,0.0002922544
32,2320102,7120302,0.0002221761
33,7220303,7120302,0.0043348809
34,3320205,7120302,0.0004815145
35,8120205,7120302,0.0002500469
36,1130123,7120302,0.0010773913
37,6120102,7120302,0.0011201255
38,1230114,7120302,0.0015028773
39,1430115,7120302,0.0014434433
40,1130142,7120302,0.0012041254
41,2120402,7120302,0.0003596691
42,12420202,7120302,0.0001211373
43,10120203,7120302,6.97382e-05
44,7120301,7120302,0.0043332145
45,11320103,7120302,7.32456e-05
46,1230133,7120302,0.0016804052
47,12420101,7120302,4.9586e-05
48,1320102,7120302,0.0019142731
49,1130141,7120302,0.0018261154
50,8320304,7120302,4.77975e-05
51,6120203,7120302,0.0004607903
52,3320203,7120302,9.75419e-05
53,11120203,7120302,8.44124e-05
54,1230113,7120302,0.0015615081
55,8220202,7120302,9.3762e-06
56,1130133,7120302,0.0008747456
57,9220301,7120302,4.86934e-05
58,9220104,7120302,0.0010456106
59,4120203,7120302,0.0001794993
60,1230127,7120302,0.0020712526
61,1320101,7120302,0.0124542101
62,1430113,7120302,0.0013737083
63,11120201,7120302,7.10579e-05
64,14220201,7120302,0.0004411173
65,1230111,7120302,0.001326629
66,7320401,7120302,0.0014858595
67,8220103,7120302,0.0003429551
68,4220202,7120302,0.0001802769
69,6220205,7120302,0.0003955478
70,11120103,7120302,2.3419e-06
71,8220303,7120302,7.6448e-06
72,5220203,7120302,0.0002769418
73,12120201,7120302,0.0001715287
74,12320103,7120302,0.0003928762
75,5220102,7120302,0.0002426501
76,8220405,7120302,5.77541e-05
77,8320101,7120302,0.0001369969
78,4120201,7120302,0.000287177
79,7120303,7120302,0.0136335078
80,6120103,7120302,0.0002969787
81,12120204,7120302,0.0001389034
82,9220103,7120302,0.000201598
83,5120301,7120302,1.19557e-05
84,1130134,7120302,0.0015480748
85,9120402,7120302,0.0016107817
86,9120204,7120302,0.0005758583
87,8220102,7120302,0.0001342642
88,1130112,7120302,0.0019690954
89,7230122,7120302,0.0038676088
90,6120301,7120302,0.0010066741
91,13120102,7120302,0.0001063472
92,1230126,7120302,0.0014525462
93,1430112,7120302,0.0011001283
94,9120102,7120302,0.0003489845
95,4220103,7120302,3.33015e-05
96,5120202,7120302,7.27961e-05
97,10220304,7120302,0.0001239533
98,8320203,7120302,3.36648e-05
99,5220301,7120302,0.00067963
100,8320403,7120302,6.00685e-05
101,7120201,7120302,0.0033774812
102,7320405,7120302,0.0063504406
103,1330112,7120302,0.0033044294
104,14220203,7120302,6.21101e-05
105,1320103,7120302,0.001206653
106,1230131,7120302,0.0014490797
107,10220104,7120302,4.78565e-05
108,7230121,7120302,0.0019359512
109,2320103,7120302,0.0003101532
110,6220102,7120302,0.0003253656
111,6320204,7120302,0.0010263194
112,7120302,7120302,0.7687566179
113,4120102,7120302,4.86337e-05
114,11220101,7120302,1.61723e-05
115,7220201,7120302,0.0009405147
116,3120303,7120302,0.0009857072
117,3120302,7120302,0.0010699047
118,1130115,7120302,0.0015580289
119,4320103,7120302,6.4222e-06
120,14120105,7120302,0.0005322486
121,9220303,7120302,0.0003958724
122,1130143,7120302,0.0013892348
123,14120102,7120302,0.0009792475
124,8320402,7120302,0.0003517871
125,7220302,7120302,0.0040815607
126,1230112,7120302,0.001034771
127,13120101,7120302,0.0001074078
128,5220302,7120302,0.0006703557
129,7320103,7120302,0.0011207874
130,6220101,7120302,0.0001490146
131,14220301,7120302,0.0002391938
132,9220304,7120302,0.0007836023
133,10220103,7120302,3.26555e-05
134,2120103,7120302,0.0001882164
135,1130114,7120302,0.0024735677
136,1130144,7120302,0.0006842379
137,8120101,7120302,0.0002587131
138,14320102,7120302,0.0002641947
139,7320403,7120302,0.0007195154
140,3220201,7120302,0.0001386963
141,1130121,7120302,0.001847035
142,8220101,7120302,2.62733e-05
143,4220301,7120302,3.74652e-05
144,8120104,7120302,0.0003961141
145,2120303,7120302,0.0001691592
146,1230122,7120302,0.0013072797
147,1230132,7120302,0.001627851
148,1230123,7120302,0.0011690762
149,6320102,7120302,0.0001653713
150,3120204,7120302,0.0004676002
151,12220202,7120302,8.91822e-05
152,12420201,7120302,0.0005724584
153,5420104,7120302,0.0003987186
154,3220203,7120302,0.0005738548
155,1130124,7120302,0.0016992105
156,3220204,7120302,0.0009389201
157,2220101,7120302,0.0001119525
158,7320101,7120302,0.0002793839
159,11220102,7120302,8.1356e-06
160,12120203,7120302,0.0003475796
161,8220203,7120302,4.29557e-05
162,10120103,7120302,9.63474e-05
163,9120202,7120302,0.0048266445
