,loc_i,loc_j,coupling
0,7320203,7120302,3.91109e-05
1,3120301,7120302,0.000257649
2,9320102,7120302,7.45156e-05
3,7320404,7120302,0.0003486189
4,12220201,7120302,0.0001251853
5,1230114,7120302,0.0006923855
6,10120103,7120302,2.19354e-05
7,14320103,7120302,1.87859e-05
8,14320104,7120302,5.86714e-05
9,7320202,7120302,0.0001254793
10,9120102,7120302,0.0002400284
11,2120102,7120302,0.0001715413
12,6220103,7120302,0.0001544103
13,6120201,7120302,0.0002140498
14,12120202,7120302,4.59125e-05
15,1130141,7120302,0.0007022692
16,14220203,7120302,4.15311e-05
17,10220202,7120302,0.0004774497
18,5220102,7120302,0.0001446181
19,7230111,7120302,0.0015692212
20,12320202,7120302,0.0002011024
21,4120101,7120302,0.0003567033
22,7220203,7120302,0.0005952692
23,3120303,7120302,0.0001819539
24,12120103,7120302,0.000225629
25,10220302,7120302,1.46917e-05
26,2320102,7120302,1.50723e-05
27,6220101,7120302,0.0002524276
28,3320205,7120302,0.0003142105
29,8120205,7120302,0.0001939739
30,1130124,7120302,0.0011009196
31,1130123,7120302,0.0005830648
32,1230134,7120302,0.0009023629
33,1430115,7120302,0.0005030618
34,1130142,7120302,0.0006301533
35,4120201,7120302,7.58668e-05
36,7120301,7120302,0.0029287036
37,11320103,7120302,0.0001536508
38,1230133,7120302,0.0009042785
39,5320202,7120302,5.29572e-05
40,1320102,7120302,0.0011088352
41,8320304,7120302,5.01178e-05
42,6120203,7120302,0.0002372242
43,1130111,7120302,0.0014696394
44,1230124,7120302,0.000844171
45,14120301,7120302,0.000203252
46,5320101,7120302,9.73836e-05
47,7120303,7120302,0.0121019853
48,1130133,7120302,0.0005476123
49,9220104,7120302,0.0003780242
50,4120203,7120302,9.59514e-05
51,3320101,7120302,0.0001854141
52,9220304,7120302,0.0010520755
53,1230127,7120302,0.0015731757
54,6220102,7120302,0.0004068029
55,8120104,7120302,0.0004511736
56,3220105,7120302,0.0001984258
57,4220201,7120302,0.0003860029
58,13220201,7120302,0.0003226047
59,1230111,7120302,0.0006791952
60,4220202,7120302,4.69423e-05
61,11120103,7120302,2.71204e-05
62,5220203,7120302,7.99265e-05
63,11120201,7120302,7.55506e-05
64,12320103,7120302,0.0002296319
65,1130143,7120302,0.000541082
66,8120101,7120302,0.0004291343
67,6120103,7120302,0.0001540239
68,12120204,7120302,4.33852e-05
69,9220103,7120302,7.76361e-05
70,7320402,7120302,0.0015518637
71,8320203,7120302,5.59848e-05
72,5120301,7120302,2.21075e-05
73,1130134,7120302,0.0005581677
74,2120103,7120302,0.000178715
75,9120402,7120302,0.0004040562
76,9120204,7120302,0.000219657
77,1130126,7120302,0.0005663811
78,14320201,7120302,6.33941e-05
79,8220102,7120302,6.58241e-05
80,7230122,7120302,0.0025471794
81,6120301,7120302,0.0002514382
82,1230126,7120302,0.0006738954
83,7120201,7120302,0.0019583758
84,1130121,7120302,0.0008187864
85,5120202,7120302,1.52989e-05
86,1430112,7120302,0.000567095
87,1230121,7120302,0.0005226026
88,1130113,7120302,0.0014461132
89,10220304,7120302,9.64555e-05
90,4320102,7120302,9.87245e-05
91,5220301,7120302,0.0003143295
92,8320301,7120302,0.0002993776
93,8320403,7120302,0.0001114633
94,7320405,7120302,0.000315035
95,1330112,7120302,0.0030300577
96,7320401,7120302,0.0007588596
97,1130125,7120302,0.0004044881
98,1230131,7120302,0.0010243964
99,10220104,7120302,4.03718e-05
100,4320103,7120302,2.65081e-05
101,2120301,7120302,1.73756e-05
102,6320204,7120302,0.0012425807
103,8320302,7120302,8.12183e-05
104,9320201,7120302,2.00248e-05
105,7120302,7120302,0.767875324
106,8120204,7120302,0.0002881227
107,8120105,7120302,6.09623e-05
108,3120302,7120302,0.0004112621
109,1130115,7120302,0.0007199022
110,1130131,7120302,0.000643611
111,7220201,7120302,0.0006214292
112,14120105,7120302,0.0002521139
113,4220103,7120302,1.15759e-05
114,5220201,7120302,0.0001010509
115,14120102,7120302,0.0006070609
116,2320103,7120302,0.0001063135
117,7220302,7120302,0.0006660417
118,8220203,7120302,3.84264e-05
119,13120101,7120302,0.0001175383
120,12220101,7120302,0.0003106503
121,7320102,7120302,0.0003887285
122,5220302,7120302,5.02027e-05
123,2320201,7120302,0.0001707785
124,1320101,7120302,0.0123487592
125,8120304,7120302,1.41119e-05
126,14220301,7120302,0.000111584
127,6220301,7120302,0.0002133163
128,7220303,7120302,0.0037833392
129,14320105,7120302,0.0002996125
130,4220101,7120302,7.20436e-05
131,10220103,7120302,3.90812e-05
132,1130114,7120302,0.0017365738
133,1320103,7120302,0.0006730884
