,loc_i,loc_j,coupling
0,12220101,9120201,1.8394e-05
1,7320203,9120201,2.6062e-05
2,3120301,9120201,2.35069e-05
3,9320102,9120201,4.60676e-05
4,7320404,9120201,6.50337e-05
5,12220201,9120201,2.16794e-05
6,1230114,9120201,0.0004086769
7,8320403,9120201,8.31312e-05
8,14320104,9120201,1.25991e-05
9,9120102,9120201,0.0006181351
10,2120102,9120201,1.02922e-05
11,7120302,9120201,0.0005190908
12,6220103,9120201,0.000115717
13,14220203,9120201,4.61792e-05
14,6120201,9120201,0.0002854969
15,12120202,9120201,0.0004701513
16,8220405,9120201,0.0004311077
17,1330112,9120201,8.0706e-05
18,9220104,9120201,0.0056964122
19,6220302,9120201,0.000202467
20,9220202,9120201,0.0119923981
21,5220102,9120201,8.62817e-05
22,7230111,9120201,0.0001343717
23,7220203,9120201,0.0001850492
24,3320301,9120201,2.59892e-05
25,12120103,9120201,6.12179e-05
26,6220101,9120201,0.0002507891
27,3320205,9120201,0.0001237391
28,1130124,9120201,0.0003131205
29,1130123,9120201,0.000127499
30,6120102,9120201,0.0006059827
31,1430115,9120201,0.0003190605
32,1230125,9120201,0.0002830244
33,1130142,9120201,0.0003133169
34,2120402,9120201,0.0007505388
35,4120201,9120201,5.38809e-05
36,7120301,9120201,0.0008547193
37,1230133,9120201,0.0003844593
38,1320102,9120201,0.0003144425
39,8320304,9120201,2.09947e-05
40,3220102,9120201,0.000368053
41,6120203,9120201,0.0002286799
42,3120304,9120201,3.51939e-05
43,8220404,9120201,3.78259e-05
44,1230124,9120201,0.0001688581
45,14320301,9120201,0.0001984521
46,9220301,9120201,0.000681305
47,4120203,9120201,1.80056e-05
48,2120103,9120201,3.81828e-05
49,9120303,9120201,0.0001052499
50,2220202,9120201,5.17826e-05
51,8220103,9120201,0.0003866015
52,9120401,9120201,0.0011804745
53,1230122,9120201,0.000150366
54,9320203,9120201,0.0012508589
55,7320401,9120201,3.6675e-05
56,11120103,9120201,0.000132523
57,5220203,9120201,4.8033e-05
58,11120201,9120201,2.92008e-05
59,12120201,9120201,1.47462e-05
60,5220101,9120201,8.0617e-06
61,12120101,9120201,8.26606e-05
62,6120103,9120201,0.0002202331
63,12120204,9120201,0.0001674983
64,8320203,9120201,1.5114e-05
65,1130134,9120201,0.0002202885
66,9120402,9120201,0.0017944861
67,6220102,9120201,0.0001087365
68,8220102,9120201,3.49308e-05
69,7230122,9120201,0.0001837636
70,6120301,9120201,0.0012089392
71,8320303,9120201,2.76138e-05
72,12420102,9120201,0.0003367003
73,1130121,9120201,0.0002191835
74,1430112,9120201,0.0002556831
75,1230121,9120201,0.0001616554
76,1130113,9120201,0.0002057485
77,10220304,9120201,6.29112e-05
78,8320301,9120201,0.0004486162
79,6220206,9120201,1.62206e-05
80,1130133,9120201,0.0002229644
81,1130125,9120201,0.0001644453
82,1230134,9120201,0.0001043615
83,1230131,9120201,0.0002327405
84,6320102,9120201,3.85914e-05
85,1130115,9120201,0.00035559
86,6320204,9120201,0.0002963602
87,7220202,9120201,5.54863e-05
88,11320102,9120201,6.1232e-05
89,8120204,9120201,0.0001217807
90,3120303,9120201,0.000284906
91,3120302,9120201,0.0003541824
92,6120302,9120201,6.66963e-05
93,5120303,9120201,1.83181e-05
94,1230132,9120201,0.0004822012
95,14120105,9120201,0.0003496351
96,9220303,9120201,0.0003109299
97,1230111,9120201,0.0002378515
98,1130143,9120201,0.0002943835
99,7220302,9120201,0.0009541074
100,1230112,9120201,0.00023455
101,13120101,9120201,9.46435e-05
102,5220302,9120201,1.82564e-05
103,7320103,9120201,0.0001103134
104,1320101,9120201,0.0001975522
