,loc_i,loc_j,coupling
0,7320203,7120302,0.000235416
1,3120301,7120302,0.0004794272
2,9320102,7120302,4.97352e-05
3,7320404,7120302,0.0003504825
4,12220201,7120302,5.3309e-05
5,1230114,7120302,0.0007263221
6,14320103,7120302,0.0003015378
7,14320104,7120302,0.0002290211
8,8120204,7120302,0.0005778172
9,9120102,7120302,0.0010973639
10,5220303,7120302,1.17608e-05
11,8220202,7120302,2.04583e-05
12,6220103,7120302,0.000438262
13,10220201,7120302,2.52736e-05
14,12120202,7120302,0.0002470428
15,8220301,7120302,5.76755e-05
16,14220203,7120302,0.0003356068
17,4120202,7120302,3.2633e-06
18,1430111,7120302,0.0006320729
19,1430112,7120302,0.0005953399
20,12220204,7120302,0.0003274126
21,7120101,7120302,0.0018632121
22,10220102,7120302,0.00044393
23,7230111,7120302,0.0019031514
24,8120105,7120302,2.83495e-05
25,12120103,7120302,0.0003653552
26,2120304,7120302,0.0002596448
27,6220101,7120302,0.0008411257
28,3320205,7120302,0.0002488603
29,8120205,7120302,0.0016938111
30,1130124,7120302,0.0011858302
31,6120102,7120302,0.0003459263
32,6320201,7120302,0.000365839
33,1430115,7120302,0.0005615084
34,1230125,7120302,0.0004409658
35,1130142,7120302,0.0008711125
36,4120201,7120302,0.0001334779
37,7120301,7120302,0.0030014828
38,1230133,7120302,0.000874559
39,12420101,7120302,6.78979e-05
40,1320102,7120302,0.001092842
41,8320304,7120302,2.14496e-05
42,6120203,7120302,0.0008329402
43,3320203,7120302,2.35311e-05
44,1230124,7120302,0.0009409329
45,1230113,7120302,0.0007134337
46,1130133,7120302,0.0005119785
47,9220104,7120302,0.0002780913
48,4120203,7120302,0.000220221
49,3320101,7120302,0.0001365157
50,2120103,7120302,0.0003733507
51,9120303,7120302,0.0007187207
52,1430113,7120302,0.000865594
53,8220304,7120302,4.86784e-05
54,2220202,7120302,0.0005399933
55,8220103,7120302,5.03899e-05
56,9120401,7120302,0.0020870084
57,3120201,7120302,0.0002438727
58,1230111,7120302,0.0005861114
59,12420201,7120302,0.0004109476
60,1130144,7120302,0.0004428122
61,4220202,7120302,0.0001383047
62,11120103,7120302,7.28194e-05
63,5220203,7120302,0.000361019
64,11120201,7120302,0.00013781
65,7120302,7120302,0.7562969922
66,12320103,7120302,0.0006248199
67,8320101,7120302,0.0001847979
68,8120101,7120302,4.32451e-05
69,3220204,7120302,0.0006363521
70,12120101,7120302,0.0003833394
71,6120103,7120302,0.0008767947
72,1230135,7120302,0.001150864
73,9220103,7120302,0.0006314931
74,5120301,7120302,0.0001742958
75,1130134,7120302,0.0009732105
76,9120402,7120302,0.0007376559
77,10320302,7120302,0.0002669206
78,9120204,7120302,0.0006496721
79,8220102,7120302,9.52402e-05
80,5220102,7120302,0.0001764199
81,7220303,7120302,0.0035370844
82,7230122,7120302,0.0024837762
83,6120301,7120302,0.0002204609
84,1230126,7120302,0.0007663757
85,9220105,7120302,6.70421e-05
86,1130121,7120302,0.0009432477
87,5120202,7120302,3.09363e-05
88,1230121,7120302,0.0004608198
89,1130113,7120302,0.0016285206
90,10220304,7120302,0.0001538007
91,8320301,7120302,0.0001167289
92,8320403,7120302,0.0001355289
93,7320405,7120302,0.000864491
94,1330112,7120302,0.0029998532
95,7320401,7120302,0.0006382123
