,loc_i,loc_j,coupling
0,7320203,7120302,9.081e-05
1,3120301,7120302,0.0004541969
2,9320102,7120302,1.18191e-05
3,7320404,7120302,0.0003887668
4,2120204,7120302,2.95066e-05
5,1230114,7120302,0.00083334
6,14320103,7120302,0.0002287632
7,14320104,7120302,0.0001055462
8,8120204,7120302,0.0003608604
9,2120102,7120302,0.0002016637
10,5220303,7120302,2.22836e-05
11,6220103,7120302,0.0002489121
12,6120201,7120302,0.0002955201
13,12120202,7120302,4.05233e-05
14,1130141,7120302,0.0009173357
15,12220203,7120302,2.65463e-05
16,1130144,7120302,0.0006135354
17,6220302,7120302,5.02176e-05
18,12220204,7120302,0.000224853
19,5220102,7120302,0.0002657966
20,7230111,7120302,0.0018180347
21,12220201,7120302,6.62266e-05
22,3120303,7120302,0.0002862942
23,12120103,7120302,0.0002936728
24,10220302,7120302,0.0002693191
25,2320102,7120302,4.78454e-05
26,6220101,7120302,0.0003654271
27,3320205,7120302,0.0002615836
28,8120205,7120302,0.0020050795
29,8120104,7120302,3.42548e-05
30,1130123,7120302,0.0010243801
31,6120102,7120302,0.0002332215
32,7320405,7120302,0.0006046706
33,8220404,7120302,6.74825e-05
34,1430115,7120302,0.0006836577
35,1230125,7120302,0.0006016789
36,1130142,7120302,0.0009387298
37,2120402,7120302,0.0010080692
38,12420202,7120302,0.0001669321
39,7120301,7120302,0.0031451856
40,8320204,7120302,1.7984e-05
41,11320103,7120302,0.0002228866
42,1230133,7120302,0.001049315
43,12420101,7120302,9.38377e-05
44,1320102,7120302,0.0011509126
45,8320304,7120302,3.98641e-05
46,6120203,7120302,0.0005204835
47,3120304,7120302,0.0002510907
48,1230124,7120302,0.0012725848
49,13320203,7120302,0.000635116
50,1130122,7120302,0.0010226467
51,9220301,7120302,0.0001195767
52,9220104,7120302,0.000463503
53,4120203,7120302,0.0002009346
54,8220301,7120302,6.07361e-05
55,9120303,7120302,0.0003828191
56,10220303,7120302,0.0001935841
57,2220202,7120302,0.0004960397
58,3220102,7120302,3.38513e-05
59,1230111,7120302,0.0007385091
60,12420201,7120302,0.0002162747
61,7320401,7120302,0.0008118905
62,4220202,7120302,0.0001306897
63,3320101,7120302,0.0001054185
64,5220203,7120302,0.0004109796
65,11120201,7120302,0.0001840357
66,8320101,7120302,0.0001731807
67,8120101,7120302,4.07e-05
68,14320302,7120302,0.0008008863
69,7320403,7120302,0.0002628867
70,6120103,7120302,0.0008210243
71,11220103,7120302,9.63043e-05
72,11120203,7120302,0.0001647086
73,5120301,7120302,0.0001348536
74,1130134,7120302,0.0011607897
75,9120402,7120302,0.0007289007
76,9120201,7120302,0.0011234323
77,6220102,7120302,0.000251321
78,1130124,7120302,0.0015053896
79,10220301,7120302,0.0001933722
80,7230122,7120302,0.0024569817
81,1130112,7120302,0.0024347607
82,9220202,7120302,0.0806304033
83,1230122,7120302,0.0007282249
84,13120102,7120302,0.0001341022
85,1230126,7120302,0.0006878959
86,7120201,7120302,0.0063667668
87,9120102,7120302,0.0007481633
88,5220301,7120302,3.9302e-05
89,1130121,7120302,0.0014558192
90,5120202,7120302,0.0001050404
91,1430112,7120302,0.0007645441
92,1230121,7120302,0.0005699496
93,4120201,7120302,0.0002111057
94,1130113,7120302,0.0028048068
95,10220304,7120302,0.0001674205
96,2120403,7120302,0.0001772044
97,9320202,7120302,0.0006570757
98,1330112,7120302,0.0028625741
99,14220203,7120302,0.0002868438
100,1320103,7120302,0.0005018219
101,1230134,7120302,0.0007662504
102,1230131,7120302,0.0011720527
103,8320302,7120302,1.95909e-05
104,10220104,7120302,6.43991e-05
105,7230121,7120302,0.0014149833
106,4220402,7120302,0.0002823634
107,6320204,7120302,1.27188e-05
108,1230113,7120302,0.000732625
109,4120102,7120302,0.0001687191
110,11220101,7120302,7.65082e-05
111,8120105,7120302,8.46855e-05
112,1130115,7120302,0.0011611015
113,7220203,7120302,0.0006298704
114,4320103,7120302,0.0002184519
115,7120101,7120302,0.0014350279
116,4220103,7120302,5.35627e-05
117,8120305,7120302,7.30751e-05
118,1130143,7120302,0.0008917307
119,7220302,7120302,0.0008757355
120,8220203,7120302,0.0001467782
121,12220101,7120302,0.0002716172
122,12320202,7120302,0.0001114285
123,7320102,7120302,0.0002722547
124,7120302,7120302,0.7648626824
125,5220302,7120302,0.0001529379
126,7320103,7120302,0.0007181046
127,1320101,7120302,0.0103968715
128,2320101,7120302,0.000313003
129,8220402,7120302,0.0001323677
130,7220303,7120302,0.0035915807
131,13320102,7120302,0.0001968824
132,14320105,7120302,0.0003620262
133,10220103,7120302,3.18179e-05
134,7120203,7120302,0.0014182475
135,10320101,7120302,0.0001156003
136,3220201,7120302,2.47036e-05
137,4220301,7120302,0.0001722609
138,7120303,7120302,0.0135379116
139,5120303,7120302,0.0001288343
140,1130133,7120302,0.0007538346
141,1230132,7120302,0.000945453
142,6220205,7120302,0.0004381319
143,1230123,7120302,0.0006289451
144,10220203,7120302,0.0024765278
145,8320303,7120302,0.0001578146
146,7320402,7120302,0.0013157895
147,4120101,7120302,0.0001497637
148,12220202,7120302,0.0002722768
149,11120101,7120302,0.0003880271
150,9120202,7120302,0.0005279632
151,5420104,7120302,0.0002469411
152,1130132,7120302,0.0008417058
153,3220204,7120302,0.0003935661
154,2220101,7120302,0.000185532
155,7320101,7120302,0.0002556175
156,12120203,7120302,0.0002995145
157,10120103,7120302,9.27687e-05
158,1230127,7120302,0.0019961732
159,9220103,7120302,0.0002970596
160,14120101,7120302,0.0003871932
161,6220303,7120302,0.0004975863
162,5120302,7120302,0.000353714
163,4220401,7120302,7.12562e-05
164,12320303,7120302,0.0001570187
165,3120204,7120302,0.0004937227
166,12320101,7120302,0.000298721
167,11320102,7120302,0.0004500361
168,9220302,7120302,0.0002139326
169,7120202,7120302,0.001250448
170,1230135,7120302,0.0012993264
171,14220301,7120302,0.0002851092
172,8320104,7120302,7.68315e-05
173,13120101,7120302,0.0002038552
174,1430114,7120302,0.000539662
175,14220202,7120302,8.07798e-05
176,4120202,7120302,2.20509e-05
177,1430111,7120302,0.0006756078
178,14320102,7120302,0.000216178
179,6120302,7120302,0.0003493616
180,2120401,7120302,4.52801e-05
181,6120301,7120302,0.0001153102
182,5320101,7120302,3.4965e-05
183,14220303,7120302,0.0001528176
184,1130131,7120302,0.0009885038
185,2120103,7120302,0.0002108593
186,1230112,7120302,0.0006430838
187,9120203,7120302,0.0170516676
188,8320202,7120302,0.0001504179
189,6220203,7120302,6.05276e-05
190,6120202,7120302,0.0005184235
191,4320101,7120302,0.0002407156
192,3320102,7120302,6.42811e-05
193,9220105,7120302,3.24349e-05
194,13220101,7120302,7.40412e-05
195,1430113,7120302,0.0007458425
196,2120201,7120302,0.0001861436
197,9320101,7120302,0.0002666382
198,7220102,7120302,0.0118576367
199,3120203,7120302,8.72981e-05
200,14120203,7120302,0.0003243353
201,12420104,7120302,0.0004581625
202,5220101,7120302,2.44976e-05
203,7220201,7120302,0.0006748304
204,8120202,7120302,0.0001721882
205,7220301,7120302,0.0005931958
206,3220105,7120302,0.0002271643
207,6220204,7120302,0.0002236136
208,1130125,7120302,0.0006069561
209,11220202,7120302,0.0002250449
210,14120105,7120302,0.0003199616
211,5120201,7120302,0.0004784795
212,4220101,7120302,0.0001075687
213,9120301,7120302,0.0003862656
214,12120101,7120302,8.11403e-05
215,8320201,7120302,1.66495e-05
216,8320402,7120302,0.0003555826
217,8120304,7120302,5.98677e-05
218,6320101,7120302,0.0005094784
219,10120104,7120302,0.0002451581
220,7120102,7120302,0.0022517391
221,11120103,7120302,7.98656e-05
222,2120303,7120302,7.28946e-05
223,6320203,7120302,0.0001391824
224,9320203,7120302,0.0001331824
225,7220101,7120302,0.005099488
226,1130114,7120302,0.0032077303
227,8320301,7120302,4.66984e-05
228,6320103,7120302,0.000140779
229,11120102,7120302,0.0006750582
230,2320201,7120302,0.0002006447
231,12320201,7120302,4.41735e-05
232,1130126,7120302,0.0007796422
233,14120202,7120302,2.04931e-05
234,14220104,7120302,0.0001672471
235,9120103,7120302,0.0004442318
236,14320101,7120302,0.000477327
237,9220303,7120302,0.0001874945
238,1130111,7120302,0.0011677428
239,7220202,7120302,0.0007414938
240,12220102,7120302,1.99956e-05
241,6120303,7120302,0.0009820313
242,5320103,7120302,9.03331e-05
243,3120102,7120302,4.47958e-05
244,4220102,7120302,0.0006100359
245,4220302,7120302,0.0001233651
246,9120302,7120302,0.0004511817
247,11220102,7120302,6.92588e-05
248,14220101,7120302,0.0001121128
249,1330113,7120302,0.0015948109
250,8220104,7120302,4.34231e-05
251,14120302,7120302,0.0006926364
252,6220202,7120302,0.0001318429
253,3120103,7120302,2.10296e-05
254,9120204,7120302,0.0005415856
255,10120301,7120302,0.0003205335
256,12120102,7120302,9.04071e-05
257,5420202,7120302,0.0002581561
258,4220403,7120302,0.0002312086
259,12320103,7120302,0.0003907618
260,8220201,7120302,1.51341e-05
261,8220102,7120302,9.01713e-05
262,3220203,7120302,0.0001918369
263,7320304,7120302,2.58552e-05
264,2120203,7120302,7.63456e-05
265,6220304,7120302,0.0005157029
266,10120102,7120302,0.000140309
267,11120202,7120302,7.89239e-05
268,9220201,7120302,0.0003289899
269,2120302,7120302,1.82315e-05
270,8120102,7120302,0.0001127928
271,3220205,7120302,0.0006919617
272,9220304,7120302,0.0038165737
273,3120302,7120302,6.7144e-06
274,9120401,7120302,0.001490454
275,5420203,7120302,9.15227e-05
276,10120202,7120302,0.0016750419
277,7220204,7120302,0.0008633414
278,2320103,7120302,0.0003457332
279,14220201,7120302,0.0001695322
280,6320104,7120302,0.0005092946
281,5420101,7120302,0.0001844225
282,8120303,7120302,0.0004291019
283,2120104,7120302,0.0001143929
284,7320302,7120302,1.75256e-05
285,1330111,7120302,0.0017179618
286,3120202,7120302,0.0004114959
287,6220301,7120302,0.0003494484
288,10120203,7120302,0.0008990958
289,7320201,7120302,1.46899e-05
290,13120104,7120302,0.0001433795
291,4320102,7120302,0.0003837848
292,10320303,7120302,0.0003191239
293,3320202,7120302,3.42747e-05
294,14120301,7120302,0.0006702141
295,4220201,7120302,0.0003872461
296,2120202,7120302,7.03581e-05
297,5420204,7120302,0.0001992122
298,7320301,7120302,0.0003045657
299,8320401,7120302,0.0002040631
300,10220201,7120302,0.0004616581
301,7320202,7120302,0.0005781684
302,6320201,7120302,0.0005755795
303,2120304,7120302,0.0002494402
304,12120204,7120302,0.0002096155
305,3120101,7120302,0.0001619215
306,3320204,7120302,0.0008311489
307,10120101,7120302,0.0003514115
308,5220201,7120302,0.0005727377
309,9220101,7120302,0.0009386442
310,14320303,7120302,0.0005909568
311,9120403,7120302,0.0015598848
312,14320201,7120302,0.000519121
313,10320302,7120302,0.000347304
314,10320203,7120302,3.1932e-05
315,2120301,7120302,0.0002501553
316,10120201,7120302,0.0004414524
317,11220201,7120302,2.6796e-06
318,10220102,7120302,1.48326e-05
319,9120104,7120302,0.0009160717
320,10120204,7120302,0.0001711977
321,3320302,7120302,0.0002513756
322,10120302,7120302,7.76217e-05
323,9220203,7120302,0.0003660233
324,8320403,7120302,8.65838e-05
325,14120201,7120302,0.0001065984
326,14120103,7120302,0.0004031386
327,14320301,7120302,1.925e-05
328,13220201,7120302,0.0012494605
329,13320201,7120302,0.0004094275
330,10220202,7120302,0.0032324594
331,2320202,7120302,0.0005657389
332,5320203,7120302,3.77815e-05
333,5320301,7120302,0.0002515452
334,5320202,7120302,4.13108e-05
335,10320201,7120302,3.44234e-05
336,13220102,7120302,0.0006804264
337,7320203,4120203,0.0009837753
338,3120301,4120203,0.0004690886
339,9320102,4120203,0.0006264109
340,7320404,4120203,0.0012742912
341,2120204,4120203,0.0004032575
342,1230114,4120203,0.0009338674
343,14320103,4120203,0.0009817752
344,14320104,4120203,0.0016776287
345,8120204,4120203,0.0013206747
346,2120102,4120203,0.0010889841
348,5220303,4120203,0.0001337018
350,6220103,4120203,0.0002059962
351,6120201,4120203,0.000572931
352,12120202,4120203,0.0002547181
353,1130141,4120203,0.0008666638
354,12220203,4120203,0.0007963897
355,1130144,4120203,0.0013459729
356,12220204,4120203,0.0011467503
357,5220102,4120203,0.0002996253
358,7230111,4120203,0.0012264194
359,12220201,4120203,0.0015526465
360,3120303,4120203,0.0012836308
362,12120103,4120203,0.0006827893
363,10220302,4120203,0.0002640896
364,2320102,4120203,0.0003987114
365,6220101,4120203,0.0020881549
366,3320205,4120203,0.0007323125
367,8120205,4120203,0.0010025398
368,8120104,4120203,0.0001826922
369,1130123,4120203,0.0009678737
370,6120102,4120203,0.0004305628
371,7320405,4120203,0.0007714762
372,8220404,4120203,0.0018751943
373,1430115,4120203,0.0015112432
374,1230125,4120203,0.0010674229
375,1130142,4120203,0.0011247252
376,2120402,4120203,0.0006251413
377,12420202,4120203,0.0007164171
378,7120301,4120203,0.000605669
379,8320204,4120203,0.009405629
380,11320103,4120203,0.0101528695
381,1230133,4120203,0.0011615931
382,12420101,4120203,0.0001689078
383,1320102,4120203,0.0009937561
384,8320304,4120203,0.0007574172
385,6120203,4120203,0.0004645176
386,3120304,4120203,0.000753272
388,1230124,4120203,0.0014870788
389,13320203,4120203,0.0006744016
390,1130122,4120203,0.0008463492
391,9220301,4120203,0.0001594356
392,9220104,4120203,0.0001236008
393,4120203,4120203,0.8117089004
394,8220301,4120203,0.0009177903
396,9120303,4120203,0.0004976648
397,10220303,4120203,0.0001935841
399,2220202,4120203,4.80038e-05
401,3220102,4120203,0.0005416201
402,1230111,4120203,0.0011041787
403,12420201,4120203,5.40687e-05
404,7320401,4120203,0.0018467353
406,4220202,4120203,0.0028751727
408,5220203,4120203,0.000129783
409,11120201,4120203,0.0018863661
412,8320101,4120203,0.0011758057
413,8120101,4120203,0.0002238502
414,14320302,4120203,0.0003737469
415,7320403,4120203,0.0005152579
416,6120103,4120203,0.0002432665
417,11220103,4120203,0.000499741
418,11120203,4120203,0.0017807903
420,5120301,4120203,0.0002961964
421,1130134,4120203,0.0011820708
422,9120402,4120203,0.000413906
423,9120201,4120203,0.0002104583
424,6220102,4120203,0.0005843213
425,1130124,4120203,0.0018088244
426,10220301,4120203,0.0001611435
