,loc_i,loc_j,coupling
0,7320203,7120302,9.27759e-05
1,3120301,7120302,9.12305e-05
2,6120201,7120302,0.0003172125
3,7320404,7120302,0.0005811315
4,12220201,7120302,0.0001186371
5,6220101,7120302,0.0002559396
6,1230114,7120302,0.0008414531
7,14320103,7120302,9.6325e-06
8,14320104,7120302,5.02274e-05
9,7320202,7120302,0.0005931286
10,9120102,7120302,0.0004406688
11,2120102,7120302,5.99706e-05
12,8220202,7120302,9.3468e-06
13,6220103,7120302,0.0001454321
14,14220203,7120302,6.86911e-05
15,9320102,7120302,2.38356e-05
16,12120202,7120302,5.30873e-05
17,4320103,7120302,6.46472e-05
18,9220104,7120302,0.0003932827
19,1430112,7120302,0.0005399776
20,5220102,7120302,0.0002212908
21,7230111,7120302,0.0018202177
22,13120101,7120302,0.0001094566
23,3120303,7120302,0.0002373503
24,7120203,7120302,0.0014755858
25,12120103,7120302,0.0006153662
26,10220302,7120302,3.73529e-05
27,2320102,7120302,0.0001599974
28,3320205,7120302,0.0003104488
29,8120205,7120302,0.0001350713
30,1130124,7120302,0.0011721671
31,6120102,7120302,0.0002176318
32,1230134,7120302,0.0010907827
33,1430115,7120302,0.0006045218
34,1130142,7120302,0.0008444606
35,2120402,7120302,0.0004857792
36,4120201,7120302,0.0002941552
37,7120301,7120302,0.0032199628
38,11320103,7120302,4.6725e-05
39,1230133,7120302,0.0010752206
40,5320202,7120302,0.0001261498
41,1320102,7120302,0.0012344598
42,6120203,7120302,0.0005400335
43,1230124,7120302,0.0012187503
44,8220301,7120302,6.9356e-06
45,8220401,7120302,1.50435e-05
46,9220301,7120302,4.04138e-05
47,4120203,7120302,0.0001042945
48,3320101,7120302,0.0002867971
49,9120303,7120302,0.0002300128
50,11220102,7120302,2.56783e-05
51,2220202,7120302,0.0004367943
52,8120104,7120302,2.32437e-05
53,3220102,7120302,0.0006794401
54,8320103,7120302,0.0002573911
55,13220201,7120302,2.23204e-05
56,1230111,7120302,0.0007398705
57,8220103,7120302,0.0002575676
58,4220202,7120302,8.2346e-05
59,11120103,7120302,4.05409e-05
60,5220203,7120302,0.0001315357
61,11120201,7120302,5.69171e-05
62,7120302,7120302,0.7655558686
63,1130143,7120302,0.0007365754
64,1230121,7120302,0.0005843468
65,7120303,7120302,0.0158361108
66,6120103,7120302,0.0002588763
67,9120302,7120302,0.0003690158
68,5120301,7120302,3.73139e-05
69,1130134,7120302,0.0007206661
70,9120402,7120302,0.0006049673
71,10320302,7120302,7.75161e-05
72,9120204,7120302,0.0002740918
73,10220301,7120302,0.0006187313
74,12220204,7120302,0.0002924695
75,7230122,7120302,0.0026780944
76,6120301,7120302,0.000128142
77,8220102,7120302,7.61852e-05
78,3120102,7120302,0.0001158239
79,1130113,7120302,0.0019442744
80,10220304,7120302,0.0002226087
81,4320102,7120302,6.6854e-06
82,12120201,7120302,0.0004185657
83,13220101,7120302,7.44879e-05
84,2120204,7120302,1.98348e-05
85,9320202,7120302,0.0003164891
86,1130133,7120302,0.0005742129
87,2120401,7120302,4.5296e-05
88,7320401,7120302,0.000952118
89,1130125,7120302,0.0004207753
90,1230131,7120302,0.0010941488
91,8320302,7120302,1.98275e-05
92,10220104,7120302,0.0003683529
93,2120301,7120302,1.73397e-05
94,6320204,7120302,1.27592e-05
95,1230113,7120302,0.0008272502
96,8120204,7120302,0.0002060918
97,8120105,7120302,1.73328e-05
98,3120302,7120302,2.72283e-05
99,1130115,7120302,0.0008919176
100,7220203,7120302,0.0010386152
101,6120302,7120302,0.0003344518
102,7120101,7120302,0.0014351563
103,7220201,7120302,0.0008395232
104,14120105,7120302,7.92016e-05
105,4220103,7120302,2.34094e-05
106,8120305,7120302,4.10585e-05
107,6320102,7120302,0.000149123
108,7220302,7120302,0.0008332253
109,1230112,7120302,0.0006670425
110,7220101,7120302,0.0049554629
111,12220101,7120302,0.0007596421
112,5220302,7120302,6.26329e-05
113,1320101,7120302,0.0106539258
114,7320405,7120302,0.0001921148
115,8220404,7120302,4.95274e-05
116,14220301,7120302,8.45394e-05
117,7220303,7120302,0.0037868089
118,12420104,7120302,0.0001474383
119,4220101,7120302,0.0002100068
120,1130123,7120302,0.0006894062
121,2120103,7120302,5.79702e-05
122,10220103,7120302,5.20592e-05
123,10220202,7120302,0.0028974936
124,8220203,7120302,6.55287e-05
125,8120101,7120302,8.24929e-05
126,1130144,7120302,0.0005633235
127,1130122,7120302,0.0007879009
128,12420101,7120302,0.0002308092
129,4220301,7120302,3.30318e-05
130,10120301,7120302,0.0002160678
131,7230121,7120302,0.0016245261
132,2320103,7120302,0.0003264092
133,10220303,7120302,0.0002485639
134,7220102,7120302,0.007081816
135,1230123,7120302,0.0007342207
136,3120204,7120302,0.0005349449
137,1230125,7120302,0.0005372869
138,9220202,7120302,0.0430572302
139,11120101,7120302,0.0004834129
140,5420104,7120302,0.0001612513
141,1130132,7120302,0.000633883
142,5420101,7120302,1.78884e-05
143,1130126,7120302,0.0005764521
144,7320101,7120302,0.0003584221
145,2320101,7120302,6.5407e-06
146,1230132,7120302,0.0009422116
147,12120203,7120302,0.0003941599
148,10120103,7120302,1.19343e-05
149,9120202,7120302,0.0006694739
150,4220302,7120302,9.839e-05
151,1230127,7120302,0.0018437882
152,10220203,7120302,0.0006328213
153,1130112,7120302,0.0018032539
154,4220402,7120302,0.0002552081
155,5120302,7120302,0.0003941596
156,4220401,7120302,1.36539e-05
