,loc_i,loc_j,coupling
0,2120403,12220101,0.0002715454
1,7320203,12220101,1.14718e-05
2,3120301,12220101,1.38322e-05
3,9320102,12220101,0.0027554758
4,7320404,12220101,5.27646e-05
5,6220101,12220101,0.0025163237
6,1230114,12220101,0.0001260534
7,14320103,12220101,0.0066208671
8,14320104,12220101,3.46729e-05
9,9120102,12220101,0.0002142268
10,2120102,12220101,9.2086e-06
11,8220202,12220101,5.1496e-05
12,6220103,12220101,0.0005383625
13,6120201,12220101,0.0023047208
14,12120202,12220101,0.0126036986
15,1130141,12220101,9.73162e-05
16,8220304,12220101,0.0023008431
17,6220302,12220101,5.62596e-05
18,5220102,12220101,0.000198975
19,7230111,12220101,7.70693e-05
20,12220201,12220101,0.0098484796
21,7220203,12220101,0.0001549739
22,3120303,12220101,7.33128e-05
23,1230124,12220101,0.0002396745
24,3320301,12220101,0.0001637674
25,12120103,12220101,0.005656013
26,10220302,12220101,3.16878e-05
27,3320205,12220101,0.0002596179
28,6120102,12220101,0.0007499362
29,1230134,12220101,0.0001389032
30,1430115,12220101,5.47597e-05
31,1130142,12220101,0.0001407653
32,8220404,12220101,0.0001849893
33,2120402,12220101,0.0001098708
34,4120201,12220101,0.0001944995
35,7120301,12220101,0.0002245754
36,10220103,12220101,1.40008e-05
37,8320204,12220101,0.0004802428
38,1230133,12220101,0.0002081562
39,8320101,12220101,0.0001010926
40,12320202,12220101,0.000707687
41,1130113,12220101,6.15471e-05
42,8320304,12220101,0.0001033165
43,6120203,12220101,0.0017948059
44,8120204,12220101,7.27178e-05
45,2120304,12220101,8.2638e-05
46,5320101,12220101,9.5911e-05
47,9220301,12220101,0.0009277412
48,9220104,12220101,0.000203355
49,4120203,12220101,9.63822e-05
50,1230127,12220101,0.0001057571
51,3220102,12220101,6.6968e-05
52,8320103,12220101,4.17185e-05
53,8120104,12220101,1.01316e-05
54,13220201,12220101,0.0002423949
55,1230111,12220101,0.0001051479
56,7320401,12220101,8.42027e-05
57,3320101,12220101,0.0006071289
58,8220303,12220101,0.0001805454
59,5220203,12220101,9.47957e-05
60,12120201,12220101,0.0012027765
61,8220405,12220101,0.0008100048
62,1130143,12220101,0.0002291705
63,1230121,12220101,0.0001021796
64,6120103,12220101,0.0010080929
