loc_i,loc_j,coupling force
12220101,9120201,8.2381e-05
7320203,9120201,3.09044e-05
3120301,9120201,2.13082e-05
9320102,9120201,8.9095e-05
7320404,9120201,0.0001562535
12220201,9120201,4.41105e-05
1230114,9120201,0.0003450896
8320403,9120201,3.49093e-05
14320104,9120201,3.45377e-05
9120102,9120201,0.0005901488
2120102,9120201,7.1907e-06
7120302,9120201,0.0005172712
6220103,9120201,2.86978e-05
14220203,9120201,6.13791e-05
6120201,9120201,0.0004302668
12120202,9120201,0.0004952425
8220405,9120201,0.0003017196
1330112,9120201,0.0001196101
9220104,9120201,0.0057655501
6220302,9120201,0.0002873632
9220202,9120201,0.0171811021
5220102,9120201,0.0001859508
7230111,9120201,0.000120454
7220203,9120201,0.0001470585
3320301,9120201,8.37387e-05
12120103,9120201,8.06972e-05
6220101,9120201,0.000266328
3320205,9120201,0.0001156522
1130124,9120201,0.0002381761
1130123,9120201,9.15926e-05
6120102,9120201,0.000774921
1430115,9120201,0.0004135149
1230125,9120201,0.0002707974
1130142,9120201,0.0002827047
2120402,9120201,0.0004893489
4120201,9120201,4.70718e-05
7120301,9120201,0.0010661518
1230133,9120201,0.000348172
1320102,9120201,0.0002670115
8320304,9120201,2.7973e-06
3220102,9120201,0.0006122938
6120203,9120201,0.0001544174
3120304,9120201,0.0003238702
8220404,9120201,6.42058e-05
1230124,9120201,0.0001633126
8220301,9120201,7.1866e-06
14320301,9120201,0.0004351218
9220301,9120201,0.0003828425
4120203,9120201,3.22871e-05
2120103,9120201,1.22541e-05
9120303,9120201,0.0004315309
2220202,9120201,0.000150885
8220103,9120201,0.0001714857
9120401,9120201,0.0010869748
13220201,9120201,1.48359e-05
1230122,9120201,0.0002043186
9320203,9120201,0.0011364584
7320401,9120201,8.18335e-05
11120103,9120201,0.0001367242
5220203,9120201,2.16777e-05
11120201,9120201,5.07126e-05
12120201,9120201,1.89587e-05
5220101,9120201,1.17064e-05
12120101,9120201,4.82158e-05
6120103,9120201,0.0002341413
12120204,9120201,0.0003252423
8320203,9120201,1.35034e-05
5320102,9120201,1.33933e-05
1130134,9120201,0.0002023876
9120402,9120201,0.0018320494
6220102,9120201,0.0001562107
8220102,9120201,2.53012e-05
7230122,9120201,0.0001556939
6120301,9120201,0.0010039693
8320303,9120201,4.78866e-05
12420102,9120201,0.0006195731
1130121,9120201,0.0002831953
1430112,9120201,0.0002149069
1230121,9120201,9.61635e-05
1130113,9120201,0.0001811476
10220304,9120201,0.0002111901
8320301,9120201,0.0002063566
6220206,9120201,1.66823e-05
1130133,9120201,0.0001467914
1130125,9120201,0.0001429209
1230134,9120201,0.0002127045
1230131,9120201,0.0003947678
6320102,9120201,0.0001086646
1130115,9120201,0.0002716385
6320204,9120201,0.0002284776
7220202,9120201,0.0001178468
11320102,9120201,7.33544e-05
8120204,9120201,5.04144e-05
3120303,9120201,0.0003215599
3120302,9120201,0.0010074901
6120302,9120201,6.44967e-05
5120303,9120201,2.22098e-05
1230132,9120201,0.0004291983
14120105,9120201,8.21717e-05
4220103,9120201,1.8549e-06
9220303,9120201,0.000623397
1230111,9120201,0.0002612743
1130143,9120201,0.0002149111
7220302,9120201,0.0012049884
1230112,9120201,0.0002534807
13120101,9120201,0.0001032326
12320202,9120201,1.8049e-06
5220302,9120201,3.10078e-05
7320103,9120201,0.0001817049
1320101,9120201,0.0002237583
14220301,9120201,8.2562e-05
1230123,9120201,0.0001371058
1430113,9120201,0.0001431314
7220303,9120201,6.53964e-05
14320105,9120201,0.000172972
8120104,9120201,0.0001761771
1130114,9120201,0.0003162997
1130144,9120201,0.0001324275
3220201,9120201,0.0003910151
12420101,9120201,3.71398e-05
8220101,9120201,1.42574e-05
4220301,9120201,2.63177e-05
7120303,9120201,0.0006154536
9120201,9120201,0.7888137567
2320103,9120201,0.0002420836
11120101,9120201,1.45748e-05
10320204,9120201,0.0001062387
1230135,9120201,0.000467929
5420104,9120201,0.0004594308
3220203,9120201,6.92922e-05
6220205,9120201,9.51872e-05
3220204,9120201,0.0006438088
2220101,9120201,0.0002080324
8120305,9120201,0.0001140408
7320101,9120201,6.91425e-05
8320102,9120201,1.56028e-05
9120403,9120201,0.0100308558
10120103,9120201,0.0002649042
9120202,9120201,0.0133162496
3120102,9120201,0.0009670952
1130112,9120201,0.0001853936
12220204,9120201,9.1394e-05
1230127,9120201,0.0003093086
4220401,9120201,3.20501e-05
3120103,9120201,0.0005440153
14320302,9120201,1.12368e-05
6220301,9120201,7.51455e-05
3120204,9120201,4.0845e-06
7120202,9120201,0.0016448514
7230121,9120201,0.000121625
10220303,9120201,6.16481e-05
9220302,9120201,0.0003350124
8320104,9120201,0.0008144504
4120202,9120201,9.8663e-06
1430111,9120201,0.0002215004
4320103,9120201,1.6158e-06
14120101,9120201,2.16985e-05
8120101,9120201,3.23553e-05
3120201,9120201,0.0001108601
7320102,9120201,6.79583e-05
1130131,9120201,0.0002523197
3320201,9120201,0.0004394639
10120203,9120201,1.43087e-05
7320402,9120201,4.7611e-06
6320201,9120201,8.74771e-05
9120203,9120201,0.0657825925
12320301,9120201,8.3739e-06
6220203,9120201,9.78744e-05
6120202,9120201,0.0001140186
1130126,9120201,0.0001865513
9320101,9120201,0.0001339666
11220102,9120201,8.4639e-06
8120102,9120201,4.82525e-05
12320101,9120201,5.282e-05
5120201,9120201,2.91391e-05
14220101,9120201,0.0005478587
7220201,9120201,6.03145e-05
5320202,9120201,4.69496e-05
14320102,9120201,0.0003012185
10220302,9120201,4.64623e-05
10120104,9120201,3.7954e-06
6220204,9120201,0.0002646224
1230113,9120201,0.000158698
11220202,9120201,0.00015997
8120303,9120201,3.70566e-05
4220101,9120201,1.18043e-05
9120301,9120201,0.000114541
8320201,9120201,7.0449e-06
8220403,9120201,3.05132e-05
12220102,9120201,0.0005044953
4220102,9120201,0.0002180796
6320101,9120201,0.0004941453
10220101,9120201,1.59303e-05
7120203,9120201,0.0025976637
11120203,9120201,1.3667e-05
7220101,9120201,8.56053e-05
4220403,9120201,7.26207e-05
9220103,9120201,0.0004738825
4320101,9120201,0.0001061419
8320402,9120201,3.52944e-05
7320403,9120201,2.7961e-06
12420201,9120201,0.0001221683
1130122,9120201,0.0001328002
1130141,9120201,0.0002711266
1430114,9120201,0.0002353542
7220204,9120201,7.30647e-05
14220104,9120201,0.0001387559
1230126,9120201,0.0010129251
9120103,9120201,0.0001885117
1130111,9120201,0.0001207241
3320302,9120201,0.000652846
8220302,9120201,2.2148e-06
12420202,9120201,5.10266e-05
1320103,9120201,0.0002040096
2120304,9120201,3.5288e-05
6220304,9120201,0.0001618788
14220201,9120201,8.56933e-05
9320202,9120201,0.0020524303
6120303,9120201,0.0015790896
14220103,9120201,7.91947e-05
4220302,9120201,1.46905e-05
7220102,9120201,9.75913e-05
1330113,9120201,0.0001359598
10320303,9120201,6.3072e-06
14120302,9120201,9.64663e-05
9120204,9120201,0.0516681268
2120201,9120201,0.0004161222
12120102,9120201,0.0003357558
7120201,9120201,0.0066198212
12320103,9120201,1.2178e-05
8220203,9120201,0.000351955
1130132,9120201,0.0002609854
7320304,9120201,0.0001208621
13120102,9120201,0.0004124783
11120202,9120201,3.8434e-06
9120302,9120201,0.0008252995
12220202,9120201,2.12672e-05
3220103,9120201,0.0001843227
9120104,9120201,0.0006114734
4220402,9120201,1.6486e-06
5420202,9120201,3.1056e-06
6220202,9120201,0.0001279488
3120202,9120201,1.2939e-05
2120403,9120201,1.1808e-05
5420203,9120201,2.50128e-05
3120203,9120201,2.33628e-05
5420102,9120201,7.7346e-06
8120202,9120201,0.0004132744
12320201,9120201,7.49997e-05
2120104,9120201,0.000369426
4120102,9120201,1.68438e-05
8320401,9120201,3.2331e-06
6320203,9120201,0.0009648557
7220301,9120201,0.0001466981
4320102,9120201,2.55609e-05
7320301,9120201,2.49767e-05
7120102,9120201,0.000486233
9220203,9120201,0.0509777273
9220105,9120201,9.03277e-05
3320204,9120201,0.000325198
13320203,9120201,2.11768e-05
1330111,9120201,0.0001772726
9220101,9120201,0.0004441297
7120101,9120201,2.55152e-05
9220304,9120201,0.0022102001
11220103,9120201,0.0003676557
10320301,9120201,0.0003657501
6320103,9120201,0.0001939182
6220303,9120201,0.0003443227
8220104,9120201,4.15957e-05
6320202,9120201,0.0005487621
9320201,9120201,4.39403e-05
10120201,9120201,1.19302e-05
13320102,9120201,5.12577e-05
10120301,9120201,1.98836e-05
10120204,9120201,6.61482e-05
9220201,9120201,0.0187252081
10320302,9120201,0.0002019295
5420101,9120201,9.30517e-05
2320101,9120201,1.70685e-05
14120103,9120201,0.0001830358
11220101,9120201,1.34154e-05
3320202,9120201,0.00229953
11220201,9120201,1.9908e-06
5220201,9120201,5.71371e-05
5420204,9120201,2.75416e-05
10320201,9120201,0.0004845514
5320301,9120201,8.1573e-06
13120103,9120201,0.0001294593
12220101,2120304,0.0002677383
7320203,2120304,0.0001854261
3120301,2120304,9.68557e-05
9320102,2120304,0.0007382159
7320404,2120304,8.16249e-05
12220201,2120304,0.0008406948
1230114,2120304,0.0009282381
8320403,2120304,0.0003105088
14320104,2120304,0.0028666254
9120102,2120304,7.69759e-05
2120102,2120304,0.0603057954
7120302,2120304,0.0003874361
6220103,2120304,0.0002528994
14220203,2120304,0.0129781661
6120201,2120304,0.000441018
12120202,2120304,7.50734e-05
8220405,2120304,1.1516e-05
1330112,2120304,0.0003688379
9220104,2120304,0.00036733
6220302,2120304,0.000704724
9220202,2120304,1.45717e-05
5220102,2120304,0.0003838717
7230111,2120304,0.0008882859
7220203,2120304,4.02113e-05
3320301,2120304,1.5507e-06
12120103,2120304,0.0001781127
6220101,2120304,0.0001398222
3320205,2120304,0.0001610289
1130124,2120304,0.0003670464
1130123,2120304,0.0002042818
6120102,2120304,0.0002358455
1430115,2120304,0.0006090018
1230125,2120304,0.0003993114
1130142,2120304,0.0003916317
2120402,2120304,0.0190988361
4120201,2120304,0.0003146377
7120301,2120304,0.0003507654
1230133,2120304,0.0012950099
1320102,2120304,0.0011639982
8320304,2120304,6.99322e-05
6120203,2120304,0.0006657104
8220404,2120304,4.9683e-05
1230124,2120304,0.0004932353
8220301,2120304,0.0004276023
14320301,2120304,0.0010702997
9220301,2120304,5.1046e-06
4120203,2120304,0.0001750815
2120103,2120304,0.1033950941
9120303,2120304,0.0001672182
2220202,2120304,0.0077015559
9120401,2120304,0.0002247756
13220201,2120304,4.45077e-05
1230122,2120304,0.0002312125
9320203,2120304,1.75515e-05
7320401,2120304,0.000117818
11120103,2120304,1.62905e-05
11120201,2120304,1.72293e-05
5220101,2120304,0.0002341274
12120101,2120304,0.0003343998
6120103,2120304,2.94845e-05
12120204,2120304,0.0001884927
5320102,2120304,0.0025313404
1130134,2120304,0.0004056482
9120402,2120304,0.0004901663
6220102,2120304,0.0013113655
7230122,2120304,0.0003023392
6120301,2120304,0.000214056
8320303,2120304,0.0001484484
12420102,2120304,0.0003934515
1130121,2120304,0.001214048
1430112,2120304,0.000217707
1230121,2120304,0.0004661739
1130113,2120304,0.0002647266
10220304,2120304,0.000636121
8320301,2120304,6.1907e-05
6220206,2120304,0.0001901788
1130133,2120304,0.0003241675
1130125,2120304,0.0004397507
1230134,2120304,0.0005642267
1230131,2120304,0.000409469
1130115,2120304,0.0006757813
6320204,2120304,0.0001173263
7220202,2120304,2.38074e-05
11320102,2120304,2.5738e-06
8120204,2120304,0.0001509049
3120303,2120304,0.0001577726
3120302,2120304,0.0011150312
6120302,2120304,1.34368e-05
5120303,2120304,2.31072e-05
1230132,2120304,0.0014242713
14120105,2120304,0.0026488274
4220103,2120304,7.79038e-05
9220303,2120304,0.0004931151
1230111,2120304,0.0007910075
1130143,2120304,0.0008847108
7220302,2120304,0.0007485534
1230112,2120304,0.0005375804
13120101,2120304,0.0002461701
5220302,2120304,0.0003496623
7320103,2120304,0.000975095
1320101,2120304,0.000377012
14220301,2120304,0.0058311781
1230123,2120304,0.0005530707
1430113,2120304,0.0002563742
7220303,2120304,0.0004882025
14320105,2120304,0.0027901135
8120104,2120304,0.0001307982
1130114,2120304,0.0005011387
1130144,2120304,0.0004348685
3220201,2120304,0.0001443748
12420101,2120304,2.1502e-05
4220301,2120304,0.0001507288
7120303,2120304,0.0003740491
9120201,2120304,0.0002306147
2320103,2120304,0.0073480951
11120101,2120304,0.0002157063
10320204,2120304,0.0012585195
1230135,2120304,0.0008124504
5420104,2120304,2.07485e-05
3220203,2120304,0.0003371387
6220205,2120304,0.0006306149
3220204,2120304,0.0005574442
2220101,2120304,0.0108230169
8120305,2120304,0.0001081925
7320101,2120304,0.0001543113
8320102,2120304,5.20094e-05
9120403,2120304,0.000344955
10120103,2120304,0.001141737
9120202,2120304,0.0002319313
3120102,2120304,0.000193419
1130112,2120304,0.0002249443
12220204,2120304,0.0014787075
1230127,2120304,0.0009447632
4220401,2120304,0.0002053579
14320302,2120304,0.002232377
6220301,2120304,0.0001666269
3120204,2120304,0.0001960536
7120202,2120304,0.0001580864
7230121,2120304,0.0003597441
10220303,2120304,6.1648e-06
9220302,2120304,0.0009530317
8320104,2120304,1.8139e-06
4120202,2120304,3.0358e-06
1430111,2120304,0.0004467381
4320103,2120304,2.26208e-05
