loc_i,loc_j,coupling force
8120304,6120103,3.7331e-06
6320202,6120103,0.0009055346
6320101,6120103,0.0016630722
13220101,6120103,6.4128e-06
12320303,6120103,9.5697e-05
7120102,6120103,9.97478e-05
12320302,6120103,0.0001153096
11120103,6120103,2.7192e-06
11120203,6120103,1.23532e-05
3220202,6120103,0.0025835189
6220206,6120103,0.0008338545
7220101,6120103,9.9357e-06
4320101,6120103,2.84295e-05
6220203,6120103,0.0005478584
10220102,6120103,0.0001278672
11120102,6120103,1.6479e-06
8220403,6120103,0.0003884153
1130131,6120103,1.82196e-05
1130122,6120103,6.24882e-05
4220201,6120103,8.951e-07
1430114,6120103,5.94084e-05
7220204,6120103,0.0001642999
14220104,6120103,6.11029e-05
9220303,6120103,0.0069200486
3120101,6120103,3.46388e-05
12220102,6120103,0.0001128457
1330113,6120103,2.94222e-05
1230126,6120103,6.55018e-05
3320105,6120103,0.0003152088
8220302,6120103,8.1273e-06
12420202,6120103,0.0001874332
10320303,6120103,2.44595e-05
6120303,6120103,0.0007899836
14120101,6120103,1.38742e-05
3320102,6120103,0.0002909847
8320401,6120103,0.0001050696
6220304,6120103,0.0168445781
3120203,6120103,7.26497e-05
12120204,6120103,0.0003012038
8220401,6120103,0.0006241981
9320202,6120103,0.0009382545
3220203,6120103,5.98371e-05
5220201,6120103,2.47358e-05
6220204,6120103,0.0024246641
3120202,6120103,0.0002411497
8220104,6120103,0.0003749172
14220101,6120103,0.0003738651
9120204,6120103,0.0002158643
10120301,6120103,4.21075e-05
14320103,6120103,0.0001032525
12420102,6120103,0.0006114408
10320203,6120103,4.34843e-05
12120102,6120103,0.0001639383
12320101,6120103,3.07944e-05
4220403,6120103,8.7165e-06
12320103,6120103,0.0001198528
7320304,6120103,5.13809e-05
2120202,6120103,2.3529e-06
11120202,6120103,4.3594e-06
12220202,6120103,6.28369e-05
7320103,6120103,2.09607e-05
6220202,6120103,0.0016939363
8120303,6120103,4.53904e-05
2120403,6120103,1.22179e-05
9120302,6120103,5.47668e-05
8220303,6120103,9.512e-06
14220301,6120103,0.0001468679
8120204,6120103,2.04242e-05
10120202,6120103,7.03074e-05
13320102,6120103,0.000118947
14220201,6120103,2.7568e-05
7320403,6120103,9.34453e-05
5420101,6120103,8.47838e-05
13320201,6120103,2.57095e-05
8220201,6120103,1.8482e-06
6320203,6120103,0.0003755869
5420103,6120103,5.12597e-05
4320103,6120103,0.0002525013
6220303,6120103,0.0026346135
12320201,6120103,0.0001462806
11320103,6120103,2.83242e-05
4320102,6120103,6.82217e-05
3320202,6120103,0.0004733034
11220201,6120103,6.45746e-05
11120101,6120103,1.11321e-05
2220202,6120103,4.5731e-06
8220101,6120103,2.8049e-06
14220103,6120103,0.0001271953
7220102,6120103,1.88585e-05
13320203,6120103,7.753e-07
1330111,6120103,9.6811e-06
6320104,6120103,0.0015995507
9220101,6120103,0.0028766796
5120201,6120103,1.8445e-06
5420202,6120103,0.0003781187
7120101,6120103,1.17481e-05
14320303,6120103,1.5224e-06
9120403,6120103,0.0001546634
2320201,6120103,0.0002948285
2120301,6120103,1.8644e-06
5420204,6120103,1.93561e-05
2120201,6120103,8.0335e-06
9120104,6120103,9.50841e-05
8320403,6120103,1.76088e-05
5320303,6120103,9.4257e-06
2220101,6120103,4.053e-07
10320302,6120103,5.626e-06
10320201,6120103,1.31825e-05
9220201,6120103,0.0002309838
14220302,6120103,2.51644e-05
5120102,6120103,0.0006174881
9220203,6120103,4.3582e-06
9120201,9320203,3.9762e-05
3120301,9320203,0.0001459554
9320102,9320203,0.00071014
5120303,9320203,1.57866e-05
7320404,9320203,1.0385e-05
12220201,9320203,6.3641e-06
1230114,9320203,4.25211e-05
1130113,9320203,1.87683e-05
8320303,9320203,2.57037e-05
7120302,9320203,1.84672e-05
6220103,9320203,4.94782e-05
1130142,9320203,2.69865e-05
12120202,9320203,2.2833e-06
1130141,9320203,2.56132e-05
14220203,9320203,3.3098e-06
9220104,9320203,4.59949e-05
1430111,9320203,2.23042e-05
6220302,9320203,8.4623e-05
12220204,9320203,4.80146e-05
5220102,9320203,9.8073e-06
7230111,9320203,4.23633e-05
4120101,9320203,6.6658e-06
